asset_id,repository,component,path,asset_class,human_creator,author_identity,ip_origin,ai_assisted,third_party_source,current_ip_holder,company_assignment_status,repository_license_status,evidence_ref,risk_status,notes
G-01,GEOX,Core service platform,apps/server/src/**,SOURCE_CODE,Founder,liyongshang44-max,FOUNDER_CREATED,MIXED_NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,Company not yet incorporated
G-02,GEOX,Digital twin / MCFT,"apps/server/src/domain/twin_kernel/**;apps/server/src/domain/twin_runtime/**;apps/server/src/runtime/twin_runtime/**;docs/digital_twin/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,YES_IDENTIFIED_COHORT,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,"f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b;AI-ASSISTED-CODE-PROVENANCE-V1.md",OPEN_CHAIN_OF_TITLE,Five AI-associated commits separately registered
G-03,GEOX,Decision and approval governance,"apps/server/src/domain/decision/**;apps/server/src/domain/approval/**;apps/server/src/domain/controlplane/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,
G-04,GEOX,Execution and accountability,"apps/server/src/domain/execution/**;apps/server/src/domain/operations/**;apps/executor/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,
G-05,GEOX,Field sensing and state ingestion,"apps/telemetry-ingest/**;apps/server/src/domain/sensing/**;apps/server/src/domain/field/**",SOURCE_CODE,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,
G-06,GEOX,Agronomic implementation,"apps/server/src/domain/agronomy/**;apps/server/src/domain/soil_water/**;apps/server/src/domain/fertilization/**;packages/agronomy-skills/**;packages/crop-skills/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,Rule/model provenance reviewed separately
G-07,GEOX,Control and governance,"packages/control-kernel/**;packages/control-constitution-validator/**;packages/guardrails/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,
G-08,GEOX,Product surface and projection,"apps/web/**;apps/server/src/product_projection/**",SOURCE_CODE,Founder,liyongshang44-max,FOUNDER_CREATED,INTERNAL_GENERATED_SUBSET,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,Judge-generated artifacts have deterministic internal generator
G-09,GEOX,Shared contracts,"packages/contracts/**;apps/server/src/contracts/**",CORE_CONTRACTS,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,
G-10,GEOX,ADR integration,"apps/server/src/integrations/adr/**;scripts/adr_adoption/**;config ADR adoption artifacts",INTEGRATION,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,f7d28aef3d2fe8e65ce0afff64e6f2673c2eb39b,OPEN_CHAIN_OF_TITLE,
A-01,agronomy-deployment-runtime,Knowledge provenance,"packages/source-registry/**;packages/provenance/**;packages/knowledge-registry/**;packages/knowledge-release/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
A-02,agronomy-deployment-runtime,Context semantics,"packages/context-contract/**;packages/context-manifest/**;packages/reference-resolution/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
A-03,agronomy-deployment-runtime,Agronomic compilation and applicability,"packages/agronomic-policy-compilation/**;packages/scientific-compiler/**;packages/applicability/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,Model/rule provenance reviewed separately
A-04,agronomy-deployment-runtime,Knowledge synthesis,"packages/synthesis-engine/**;packages/conflict-engine/**;packages/knowledge-retrieval/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
A-05,agronomy-deployment-runtime,Runtime and deployment,"packages/deployment/**;packages/runtime-profile/**;packages/runtime-plan/**;packages/runtime-binding/**;packages/runtime-eligibility/**;packages/runtime-results/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
A-06,agronomy-deployment-runtime,Decision semantics and history,"packages/decision-problem/**;packages/decision-result/**;packages/decision-robustness/**;packages/historical-decision-basis/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
A-07,agronomy-deployment-runtime,Implementation governance,"packages/implementation-registry/**;packages/implementation-conformance/**;packages/implementation-broker/**",CORE_TECHNOLOGY,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
A-08,agronomy-deployment-runtime,Rights audit and security,"packages/rights-authority/**;packages/authorization/**;packages/audit/**;packages/security-operations/**",CORE_GOVERNANCE,Founder,liyongshang44-max,FOUNDER_CREATED,NOT_GLOBALLY_CLASSIFIED,NONE_KNOWN,FOUNDER,PENDING_INCORPORATION,NONE_DETECTED,aaf5e83ab9a302a935661e284828a91aa58448d1,OPEN_CHAIN_OF_TITLE,
